Name,Critic_Score,Critic_Count,User_Score,User_Count,Global_Sales
Hitman: Absolution,83,30,7.5,511,2.14
Call of Duty: Roads to Victory,64,45,7.5,30,2.13
Dance Dance Revolution Extreme,77,26,9,20,2.13
Final Fantasy Tactics Advance,87,44,7.8,212,2.13
Your Shape featuring Jenny McCarthy,62,5,5.2,54,2.12
Project Gotham Racing,85,35,8.2,28,2.12
NBA 2K12,90,38,6.7,127,2.11
Need for Speed: Hot Pursuit 2,89,31,8.5,92,2.11
Dynasty Warriors 4,78,24,9.3,201,2.11
NBA 2K14,84,26,4.9,142,2.11
Parasite Eve,81,17,8.9,89,2.1
Tetris DS,84,56,8.7,44,2.1
Battlefield: Hardline,73,46,5,845,2.1
Mortal Kombat,86,66,8.3,382,2.1
Borderlands,83,58,7.9,427,2.09
Devil May Cry 3: Dante's Awakening,84,60,9,212,2.09
NBA 2K11,89,50,8.1,100,2.09
Dying Light,74,58,7.9,1287,2.09
Dead Rising,85,82,7.6,520,2.08
World of Warcraft: Cataclysm,90,53,5.6,953,2.08
